farm,harvest_type,total_harvest_stock,total_net_meat,unique_houses,harvest_days,kg_density
W03,Culls,10498,12597.6,12,1,36.46275658638517
W03,Market,299708,637355.349862049,12,5,36.46275658638517
W03,SH,52609,85136.222919476,11,3,36.46275658638517
W04,Culls,10420,12504.0,12,2,35.8608996004067
W04,Market,283362,603375.142388901,12,5,35.8608996004067
W04,SH,66533,107076.593555298,12,3,35.8608996004067
W05,Culls,10510,12612.0,12,2,36.07379955268681
W05,Market,302605,637937.573982166,12,6,36.07379955268681
W05,SH,48731,76698.225,12,2,36.07379955268681
W08,Culls,10160,12192.0,12,3,35.40441720131488
W08,Market,297050,620245.213076843,12,5,35.40441720131488
W08,SH,50238,81315.837701665,12,3,35.40441720131488
W10,Culls,10909,13090.8,12,1,37.0550385610557
W10,Market,329527,677389.746875432,12,6,37.0550385610557
W10,SH,34729,56549.030515451,10,2,37.0550385610557
W12,Culls,10420,12504.0,12,3,36.693449249876984
W12,Market,307107,646884.813686472,12,7,36.693449249876984
W12,SH,49976,80351.123191048,9,3,36.693449249876984
W13,Culls,10183,12219.6,12,1,36.25706928212024
W13,Market,310747,664778.593661165,12,7,36.25706928212024
W13,SH,32974,53944.323066379,10,2,36.25706928212024
W17,Culls,10270,12324.0,12,1,32.385182479758484
W17,Market,276516,578461.797754051,11,5,32.385182479758484
W17,SH,38661,62099.48103788,12,3,32.385182479758484
W20,Culls,9868,11841.599999999999,12,1,25.7474405163752
W20,Market,209285,433542.47218562,9,3,25.7474405163752
W20,SH,45526,73684.328624504,11,2,25.7474405163752
