date,harvest_type,total_stock,total_net_meat,houses_harvested
2025-04-29,SH,29999,47363.845,7
2025-04-30,SH,29999,47388.270515451004,6
2025-05-02,SH,29996,48664.587143321,9
2025-05-03,Market,23729,45250.947842063004,1
2025-05-03,SH,30000,47962.324596783,6
2025-05-04,Market,26532,52894.238480411994,2
2025-05-05,Market,120000,236170.526213096,6
2025-05-05,SH,29999,48944.821815194,4
2025-05-06,Market,121883,249026.163604165,6
2025-05-06,SH,29999,48032.845,4
2025-05-07,Market,120000,259326.164465568,8
2025-05-08,Market,120000,261672.213161525,4
2025-05-09,SH,29996,48608.786580241,9
2025-05-10,Market,120000,263563.519113033,5
2025-05-10,SH,30000,48278.744786858006,4
2025-05-11,Market,100000,221323.523794482,5
2025-05-12,Market,82876,179464.50692459499,4
2025-05-12,SH,29998,49051.619254042,6
2025-05-13,Market,120000,244202.638391476,5
2025-05-13,SH,30000,48230.043575228,4
2025-05-14,Market,120000,253796.269080858,5
2025-05-15,Market,120000,257893.961986752,5
2025-05-16,SH,29999,49225.076490629,9
2025-05-17,Market,120000,258558.299081874,5
2025-05-18,Market,120000,258161.962139354,5
2025-05-18,SH,29996,47662.191162539,9
2025-05-19,Market,92914,186438.757823386,5
2025-05-20,Market,120000,261061.15829651602,8
2025-05-20,SH,30000,49387.813010555,3
2025-05-21,Market,120000,250529.31191132398,6
2025-05-21,SH,29996,48054.196680860005,10
2025-05-22,Market,120000,264307.75853492296,5
2025-05-24,Market,120000,262972.69883148896,6
2025-05-25,Market,120000,261333.77087285102,6
2025-05-26,Market,120000,262448.620577943,6
2025-05-27,Market,100000,211743.27924601402,3
2025-05-28,Market,100000,210962.066283842,3
2025-05-29,Market,100000,212194.943607021,4
2025-05-09,Culls,11901,14281.199999999999,12
2025-05-10,Culls,9518,11421.6,11
2025-05-14,Culls,4397,5276.4,5
2025-05-15,Culls,6023,7227.599999999999,7
2025-05-17,Culls,10498,12597.6,12
2025-05-20,Culls,5006,6007.2,6
2025-05-21,Culls,2572,3086.3999999999996,3
2025-05-22,Culls,2582,3098.3999999999996,3
2025-05-23,Culls,4185,5022.0,5
2025-05-24,Culls,2616,3139.2,3
2025-05-25,Culls,33940,40728.0,12
