date,harvest_type,total_stock,total_net_meat,houses_harvested
2025-04-29,SH,29999,47363.845,7
2025-04-30,SH,29999,47388.270515451004,6
2025-05-02,SH,29996,48664.587143321,9
2025-05-03,Market,23729,45250.947842063004,1
2025-05-03,SH,30000,47962.324596783,6
2025-05-04,Market,67681,128146.737631581,3
2025-05-05,Market,99248,196942.53556016198,4
2025-05-05,SH,29999,48944.821815194,4
2025-05-06,Market,120000,245464.748469072,6
2025-05-06,SH,29999,48032.845,4
2025-05-07,Market,99281,216092.12716027303,4
2025-05-08,Market,120000,261672.213161525,4
2025-05-09,SH,29996,48608.786580241,9
2025-05-10,Market,120000,263563.519113033,5
2025-05-10,SH,30000,48278.744786858006,4
2025-05-11,Market,100000,221323.523794482,5
2025-05-12,Market,100000,210857.496196945,5
2025-05-12,SH,29998,49051.619254042,6
2025-05-13,Market,120000,244334.440749878,6
2025-05-13,SH,30000,48230.043575228,4
2025-05-14,Market,98198,210180.356585748,4
2025-05-15,Market,120000,257893.961986752,5
2025-05-16,SH,29999,49225.076490629,9
2025-05-17,Market,120904,260659.920383888,5
2025-05-18,Market,120000,259124.793123793,6
2025-05-18,SH,29996,47662.191162539,9
2025-05-19,Market,100000,201693.877431918,7
2025-05-20,Market,98288,212869.314391086,4
2025-05-20,SH,30000,49387.813010555,3
2025-05-21,Market,120000,250529.31191132398,6
2025-05-21,SH,29996,48054.196680860005,10
2025-05-22,Market,120000,264307.75853492296,5
2025-05-24,Market,120000,262972.69883148896,6
2025-05-25,Market,120000,261416.73403319402,6
2025-05-26,Market,98065,213627.503351237,3
2025-05-27,Market,99869,211469.55819341002,3
2025-05-28,Market,98502,204637.451083967,4
2025-05-29,Market,100000,204318.6777601,4
2025-05-09,Culls,11901,14281.199999999999,12
2025-05-10,Culls,9518,11421.6,11
2025-05-14,Culls,4397,5276.4,5
2025-05-15,Culls,6023,7227.599999999999,7
2025-05-17,Culls,10498,12597.6,12
2025-05-20,Culls,5006,6007.2,6
2025-05-21,Culls,2572,3086.3999999999996,3
2025-05-22,Culls,2582,3098.3999999999996,3
2025-05-23,Culls,4185,5022.0,5
2025-05-24,Culls,2616,3139.2,3
2025-05-25,Culls,33940,40728.0,12
