farm,harvest_type,total_harvest_stock,total_net_meat,unique_houses,harvest_days,kg_density
W03,Culls,10498,12597.6,12,1,32.51285466438219
W03,Market,260019,557725.327114469,11,5,32.51285466438219
W03,SH,52609,85136.222919476,11,3,32.51285466438219
W04,Culls,10420,12504.0,12,2,34.825570317415625
W04,Market,265885,582502.904043801,12,4,34.825570317415625
W04,SH,66533,107076.593555298,12,3,34.825570317415625
W05,Culls,10510,12612.0,12,2,35.7040985250624
W05,Market,302020,630484.401265258,12,7,35.7040985250624
W05,SH,48731,76698.225,12,2,35.7040985250624
W08,Culls,10160,12192.0,12,3,34.341572387951736
W08,Market,286402,598818.261639442,12,6,34.341572387951736
W08,SH,50238,81315.837701665,12,3,34.341572387951736
W10,Culls,10909,13090.8,12,1,33.86906701354117
W10,Market,295993,613160.560477539,11,6,33.86906701354117
W10,SH,34729,56549.030515451,10,2,33.86906701354117
W12,Culls,10420,12504.0,12,3,36.803884188568155
W12,Market,305017,649111.182050486,12,8,36.803884188568155
W12,SH,49976,80351.123191048,9,3,36.803884188568155
W13,Culls,10183,12219.6,12,1,36.34242007434871
W13,Market,309881,666499.265632491,12,7,36.34242007434871
W13,SH,32974,53944.323066379,10,2,36.34242007434871
W17,Culls,10270,12324.0,12,1,27.344459751314982
W17,Market,224852,476840.82754862995,10,6,27.344459751314982
W17,SH,38661,62099.48103788,12,3,27.344459751314982
W20,Culls,9868,11841.599999999999,12,1,30.740744351896378
W20,Market,253696,534207.477509727,11,5,30.740744351896378
W20,SH,45526,73684.328624504,11,2,30.740744351896378
