farm,harvest_type,total_harvest_stock,total_net_meat,unique_houses,harvest_days,kg_density
W03,Culls,10498,12597.6,12,1,33.81920303976121
W03,Market,272809,584061.31036211,12,5,33.81920303976121
W03,SH,52609,85136.222919476,11,3,33.81920303976121
W04,Culls,10420,12504.0,12,2,34.825570317415625
W04,Market,265885,582502.904043801,12,4,34.825570317415625
W04,SH,66533,107076.593555298,12,3,34.825570317415625
W05,Culls,10510,12612.0,12,2,35.77184622789107
W05,Market,302020,631850.194954284,12,7,35.77184622789107
W05,SH,48731,76698.225,12,2,35.77184622789107
W08,Culls,10160,12192.0,12,3,34.83708327894102
W08,Market,290176,608807.761201786,12,7,34.83708327894102
W08,SH,50238,81315.837701665,12,3,34.83708327894102
W10,Culls,10909,13090.8,12,1,34.33559232371612
W10,Market,298198,622565.710730666,11,6,34.33559232371612
W10,SH,34729,56549.030515451,10,2,34.33559232371612
W12,Culls,10420,12504.0,12,3,34.063332698261306
W12,Market,277764,593861.6640059,11,6,34.063332698261306
W12,SH,49976,80351.123191048,9,3,34.063332698261306
W13,Culls,10183,12219.6,12,1,36.34242007434871
W13,Market,309881,666499.265632491,12,7,36.34242007434871
W13,SH,32974,53944.323066379,10,2,36.34242007434871
W17,Culls,10270,12324.0,12,1,21.23946035607004
W17,Market,164102,353764.039740492,9,5,21.23946035607004
W17,SH,38661,62099.48103788,12,3,21.23946035607004
W20,Culls,9868,11841.599999999999,12,1,11.508436958366023
W20,Market,67099,146484.16045615502,4,2,11.508436958366023
W20,SH,45526,73684.328624504,11,2,11.508436958366023
