farm,harvest_type,total_harvest_stock,total_net_meat,unique_houses,harvest_days,kg_density
W03,Culls,10498,12597.6,12,1,31.775802449489834
W03,Market,252809,542866.354462239,10,5,31.775802449489834
W03,SH,52609,85136.222919476,11,3,31.775802449489834
W04,Culls,10420,12504.0,12,2,35.01712907560798
W04,Market,267554,586364.728608959,12,4,35.01712907560798
W04,SH,66533,107076.593555298,12,3,35.01712907560798
W05,Culls,10510,12612.0,12,2,35.77848944869305
W05,Market,302842,631984.122285652,12,7,35.77848944869305
W05,SH,48731,76698.225,12,2,35.77848944869305
W08,Culls,10160,12192.0,12,3,27.934949893998212
W08,Market,224612,469660.752161339,10,6,27.934949893998212
W08,SH,50238,81315.837701665,12,3,27.934949893998212
W10,Culls,10909,13090.8,12,1,30.301485112983134
W10,Market,267490,541238.109362289,10,5,30.301485112983134
W10,SH,34729,56549.030515451,10,2,30.301485112983134
W12,Culls,10420,12504.0,12,3,30.290281149094795
W12,Market,244811,517796.944774703,11,5,30.290281149094795
W12,SH,49976,80351.123191048,9,3,30.290281149094795
W13,Culls,10183,12219.6,12,1,33.536018489575895
W13,Market,284701,609922.209683471,11,7,33.536018489575895
W13,SH,32974,53944.323066379,10,2,33.536018489575895
W17,Culls,10270,12324.0,12,1,15.24683047104747
W17,Market,106826,232952.621258437,5,3,15.24683047104747
W17,SH,38661,62099.48103788,12,3,15.24683047104747
W20,Culls,9868,11841.599999999999,12,1,11.307585437162897
W20,Market,65164,142434.9937887,3,2,11.307585437162897
W20,SH,45526,73684.328624504,11,2,11.307585437162897
