farm,house,harvest_type,total_harvest_stock,total_net_meat,harvest_days,kg_density
W03,H01,Culls,910,1092.0,1,39.5450011287125
W03,H01,Market,30801,65343.60189623701,1,39.5450011287125
W03,H02,Culls,884,1060.8,1,37.684347942382146
W03,H02,Market,27147,57934.148630403004,2,37.684347942382146
W03,H02,SH,2551,4314.755912799,1,37.684347942382146
W03,H03,Culls,858,1029.6,1,36.62858384858809
W03,H03,Market,26030,56172.68372314,1,36.62858384858809
W03,H03,SH,2584,4333.737142488,1,36.62858384858809
W03,H04,Culls,891,1069.2,1,38.95568023449761
W03,H04,Market,27349,60041.712413018,1,38.95568023449761
W03,H04,SH,2574,4334.630380938,1,38.95568023449761
W03,H05,Culls,856,1027.2,1,36.80053383013809
W03,H05,Market,26408,56693.80630884,1,36.80053383013809
W03,H05,SH,2488,4103.890525792,1,36.80053383013809
W03,H06,Culls,908,1089.6,1,35.56565253969643
W03,H06,Market,22761,46594.18626669,1,35.56565253969643
W03,H06,SH,7589,12066.51,1,35.56565253969643
W03,H07,Culls,827,992.4,1,36.0445183518125
W03,H07,Market,25507,55592.798886740995,1,36.0445183518125
W03,H07,SH,2408,3969.5919443039998,1,36.0445183518125
W03,H08,Culls,926,1111.2,1,37.54573307403273
W03,H08,Market,23161,49648.831564374996,1,37.54573307403273
W03,H08,SH,7698,12316.800000000001,1,37.54573307403273
W03,H09,Culls,878,1053.6,1,3.72400690965119
W03,H09,Market,593,1199.3827706299999,1,3.72400690965119
W03,H09,SH,2544,4003.3488375839997,1,3.72400690965119
W03,H10,Culls,847,1016.4,1,35.520855117380954
W03,H10,Market,21680,46850.6515972,1,35.520855117380954
W03,H10,SH,7357,11807.985,1,35.520855117380954
W03,H11,Culls,833,999.5999999999999,1,31.57059303857857
W03,H11,Market,19407,39995.573129241,1,31.57059303857857
W03,H11,SH,7461,12043.423175571,1,31.57059303857857
W03,H12,Culls,880,1056.0,1,36.24493046166369
W03,H12,Market,21965,47993.933175595004,1,36.24493046166369
W03,H12,SH,7355,11841.550000000001,1,36.24493046166369
W04,H01,Culls,895,1074.0,1,37.41724270222559
W04,H01,Market,22697,49786.967739739,1,37.41724270222559
W04,H01,SH,7500,12000.0,1,37.41724270222559
W04,H02,Culls,873,1047.6,1,35.54672307113928
W04,H02,Market,21951,46846.994759514,1,35.54672307113928
W04,H02,SH,7166,11823.9,1,35.54672307113928
W04,H03,Culls,919,1102.8,1,34.880550214325
W04,H03,Market,23154,45289.824360066,1,34.880550214325
W04,H03,SH,7535,12206.7,1,34.880550214325
W04,H04,Culls,797,956.4,1,34.05648646913036
W04,H04,Market,22108,48588.825838884004,1,34.05648646913036
W04,H04,SH,4785,7669.6714292550005,1,34.05648646913036
W04,H05,Culls,942,1130.3999999999999,1,39.283280965251194
W04,H05,Market,23778,51951.290206428,1,39.283280965251194
W04,H05,SH,7798,12914.221815194,1,39.283280965251194
W04,H06,Culls,806,967.1999999999999,1,34.133111172767265
W04,H06,Market,22383,48728.632175523,1,34.133111172767265
W04,H06,SH,4862,7647.794594726,1,34.133111172767265
W04,H07,Culls,860,1032.0,1,35.698986762713695
W04,H07,Market,22761,50626.037761359,2,35.698986762713695
W04,H07,SH,5102,8316.26,1,35.698986762713695
W04,H08,Culls,791,949.1999999999999,1,34.01777462913809
W04,H08,Market,21121,48530.062804149995,1,34.01777462913809
W04,H08,SH,4807,7670.598572802,1,34.01777462913809
W04,H09,Culls,875,1050.0,1,19.464145894261904
W04,H09,Market,10460,23389.52510236,1,19.464145894261904
W04,H09,SH,5228,8260.24,1,19.464145894261904
W04,H10,Culls,884,1060.8,1,38.675814794912505
W04,H10,Market,25517,58839.971712132006,1,38.675814794912505
W04,H10,SH,3247,5074.597143321,1,38.675814794912505
W04,H11,Culls,878,1053.6,1,36.657576157157145
W04,H11,Market,23209,52133.367944024,1,36.657576157157145
W04,H11,SH,5216,8397.76,1,36.657576157157145
W04,H12,Culls,900,1080.0,1,38.07515097596547
W04,H12,Market,26746,57791.403639621996,1,38.07515097596547
W04,H12,SH,3287,5094.85,1,38.07515097596547
W05,H01,Culls,992,1190.3999999999999,1,38.688625705251184
W05,H01,Market,28420,56217.211184821994,2,38.688625705251184
W05,H01,SH,4656,7589.28,1,38.688625705251184
W05,H02,Culls,827,992.4,1,31.141177286942266
W05,H02,Market,23729,45250.947842063004,1,31.141177286942266
W05,H02,SH,3906,6073.83,1,31.141177286942266
W05,H03,Culls,970,1164.0,1,39.94982350321428
W05,H03,Market,27815,58856.2384854,1,39.94982350321428
W05,H03,SH,4563,7095.465,1,39.94982350321428
W05,H04,Culls,810,972.0,1,33.960040424800006
W05,H04,Market,23154,50096.707913664,1,33.960040424800006
W05,H04,SH,3836,5984.16,1,33.960040424800006
W05,H05,Culls,931,1117.2,1,39.328632832232145
W05,H05,Market,26655,58069.00315815,1,39.328632832232145
W05,H05,SH,4372,6885.9,1,39.328632832232145
W05,H06,Culls,842,1010.4,1,35.89035493838095
W05,H06,Market,24305,53394.836296479996,1,35.89035493838095
W05,H06,SH,3776,5890.56,1,35.89035493838095
W05,H07,Culls,913,1095.6,1,38.91865234034107
W05,H07,Market,26137,57461.865931773,1,38.91865234034107
W05,H07,SH,4293,6825.87,1,38.91865234034107
W05,H08,Culls,835,1002.0,1,35.74820369634286
W05,H08,Market,24172,53140.857209856,1,35.74820369634286
W05,H08,SH,3755,5914.125,1,35.74820369634286
W05,H09,Culls,932,1118.3999999999999,1,35.286924059017856
W05,H09,Market,26695,51254.29241915,1,35.286924059017856
W05,H09,SH,4373,6909.34,1,35.286924059017856
W05,H10,Culls,826,991.1999999999999,1,35.04448563192916
